# PDOK Locatieserver woonplaats centroids (WGS84); CC0, Kadaster
place,municipality,province,lat,lon
Angerlo,Zevenaar,Gelderland,51.98355,6.11851
Ankeveen,Wijdemeren,Noord-Holland,52.26653,5.09682
Anloo,Aa en Hunze,Drenthe,53.04257,6.70007
Anna Paulowna,Hollands Kroon,Noord-Holland,52.86034,4.83619
Annen,Aa en Hunze,Drenthe,53.05936,6.73897
Annerveenschekanaal,Aa en Hunze,Drenthe,53.07599,6.79636
Ansen,De Wolden,Drenthe,52.78419,6.32328
Ansen,Westerveld,Drenthe,52.79253,6.36089
Apeldoorn,Apeldoorn,Gelderland,52.21084,5.97373
Appelscha,Ooststellingwerf,Fryslân,52.94268,6.34088
Appeltern,West Maas en Waal,Gelderland,51.83529,5.57271
Appingedam,Eemsdelta,Groningen,53.31714,6.84955
Arcen,Venlo,Limburg,51.48689,6.19277
Arkel,Molenlanden,Zuid-Holland,51.86566,4.99830
Arnemuiden,Middelburg,Zeeland,51.51318,3.69060
Arnhem,Arnhem,Gelderland,52.00114,5.89259
Arriën,Ommen,Overijssel,52.54395,6.45673
Arum,Súdwest-Fryslân,Fryslân,53.12845,5.48751
Asch,Buren,Gelderland,51.92946,5.31760
Asperen,West Betuwe,Gelderland,51.88098,5.10366
Assen,Assen,Drenthe,52.98786,6.54936
Assendelft,Zaanstad,Noord-Holland,52.46502,4.72986
Asten,Asten,Noord-Brabant,51.39736,5.77801
Augsbuert-Lytsewâld,Noardeast-Fryslân,Fryslân,53.27242,6.18683
Augustinusga,Achtkarspelen,Fryslân,53.21973,6.16267
Austerlitz,Zeist,Utrecht,52.08379,5.31241
Avenhorn,Koggenland,Noord-Holland,52.61829,4.96360
Axel,Terneuzen,Zeeland,51.27512,3.92516
Azewijn,Montferland,Gelderland,51.88562,6.30339
Baaiduinen,Terschelling,Fryslân,53.38186,5.27288
Baaium,Waadhoeke,Fryslân,53.16462,5.63447
Baak,Bronckhorst,Gelderland,52.07168,6.23797
Baambrugge,De Ronde Venen,Utrecht,52.24701,4.99006
Baard,Leeuwarden,Fryslân,53.14052,5.67371
Baarland,Borsele,Zeeland,51.39906,3.90030
Baarle-Nassau,Baarle-Nassau,Noord-Brabant,51.43583,4.92217
Baarlo,Peel en Maas,Limburg,51.33203,6.08544
Baarlo,Steenwijkerland,Overijssel,52.73914,5.95194
Baarn,Baarn,Utrecht,52.20713,5.27134
Baars,Steenwijkerland,Overijssel,52.81424,6.09760
Babberich,Zevenaar,Gelderland,51.90706,6.12491
Babyloniënbroek,Altena,Noord-Brabant,51.75170,5.02563
Bad Nieuweschans,Oldambt,Groningen,53.16806,7.18386
Badhoevedorp,Haarlemmermeer,Noord-Holland,52.33122,4.77900
Baexem,Leudal,Limburg,51.23025,5.87631
Baflo,Het Hogeland,Groningen,53.35739,6.50848
Bakel,Gemert-Bakel,Noord-Brabant,51.50885,5.72762
Bakhuizen,De Fryske Marren,Fryslân,52.86827,5.45044
Bakkeveen,Opsterland,Fryslân,53.07768,6.27232
Balgoij,Wijchen,Gelderland,51.78500,5.71602
Balinge,Midden-Drenthe,Drenthe,52.80997,6.62477
Balk,De Fryske Marren,Fryslân,52.90186,5.59049
Balkbrug,Hardenberg,Overijssel,52.61334,6.36512
Balloo,Aa en Hunze,Drenthe,53.00140,6.62796
Balloërveld,Aa en Hunze,Drenthe,53.01375,6.64817
Ballum,Ameland,Fryslân,53.41980,5.69023
Baneheide,Simpelveld,Limburg,50.81813,5.97284
Banholt,Eijsden-Margraten,Limburg,50.79227,5.81066
Bant,Noordoostpolder,Flevoland,52.77126,5.75730
Bantega,De Fryske Marren,Fryslân,52.83522,5.79502
Barchem,Lochem,Gelderland,52.12288,6.44185
Barendrecht,Barendrecht,Zuid-Holland,51.85107,4.52544
Barger-Compascuum,Emmen,Drenthe,52.75670,7.04072
Barneveld,Barneveld,Gelderland,52.14116,5.58285
Barsingerhorn,Hollands Kroon,Noord-Holland,52.78956,4.85192
Basse,Steenwijkerland,Overijssel,52.80140,6.02794
Batenburg,Wijchen,Gelderland,51.82573,5.63580
Bathmen,Deventer,Overijssel,52.24847,6.32164
Bavel,Breda,Noord-Brabant,51.56639,4.83847
Bavel AC,Alphen-Chaam,Noord-Brabant,51.55126,4.85157
Bears,Leeuwarden,Fryslân,53.15660,5.74103
Bedum,Het Hogeland,Groningen,53.29900,6.60516
Beegden,Maasgouw,Limburg,51.19670,5.91605
Beek,Beek,Limburg,50.93315,5.80555
Beek,Berg en Dal,Gelderland,51.83026,5.93154
Beek,Montferland,Gelderland,51.90479,6.19339
Beek en Donk,Laarbeek,Noord-Brabant,51.54252,5.63245
Beekbergen,Apeldoorn,Gelderland,52.14413,5.96788
Beemte Broekland,Apeldoorn,Gelderland,52.25710,6.01057
Beers NB,Land van Cuijk,Noord-Brabant,51.72166,5.81871
Beerta,Oldambt,Groningen,53.16580,7.10975
Beerze,Ommen,Overijssel,52.50805,6.53469
Beerzerveld,Ommen,Overijssel,52.49332,6.56828
Beesd,West Betuwe,Gelderland,51.90457,5.20220
Beesel,Beesel,Limburg,51.26092,6.04936
Beets,Edam-Volendam,Noord-Holland,52.59101,4.97390
Beetsterzwaag,Opsterland,Fryslân,53.05500,6.07085
Beilen,Midden-Drenthe,Drenthe,52.86154,6.49796
Beinsdorp,Haarlemmermeer,Noord-Holland,52.28784,4.59973
Belfeld,Venlo,Limburg,51.30585,6.12470
Bellingwolde,Westerwolde,Groningen,53.11174,7.16055
Belt-Schutsloot,Steenwijkerland,Overijssel,52.66962,6.06436
Beltrum,Berkelland,Gelderland,52.06204,6.56096
Bemelen,Eijsden-Margraten,Limburg,50.84477,5.77929
Bemmel,Lingewaard,Gelderland,51.89842,5.89898
Beneden-Leeuwen,West Maas en Waal,Gelderland,51.87325,5.51653
Bennebroek,Bloemendaal,Noord-Holland,52.32121,4.59871
Bennekom,Ede,Gelderland,52.00745,5.66970
Benneveld,Coevorden,Drenthe,52.77617,6.75157
Benningbroek,Medemblik,Noord-Holland,52.70469,5.03536
Benschop,Lopik,Utrecht,52.00588,4.96493
Bentelo,Hof van Twente,Overijssel,52.21794,6.68746
Benthuizen,Alphen aan den Rijn,Zuid-Holland,52.08073,4.56164
Bentveld,Zandvoort,Noord-Holland,52.36731,4.57219
Berg en Dal,Berg en Dal,Gelderland,51.81516,5.92255
Berg en Terblijt,Valkenburg aan de Geul,Limburg,50.85994,5.78567
Bergambacht,Krimpenerwaard,Zuid-Holland,51.93804,4.77986
Bergeijk,Bergeijk,Noord-Brabant,51.30249,5.32631
Bergen (NH),Bergen (NH),Noord-Holland,52.66421,4.69335
Bergen L,Bergen (L),Limburg,51.60525,6.06477
Bergen aan Zee,Bergen (NH),Noord-Holland,52.65820,4.62765
Bergen op Zoom,Bergen op Zoom,Noord-Brabant,51.48959,4.29725
Bergentheim,Hardenberg,Overijssel,52.51956,6.61885
Bergharen,Wijchen,Gelderland,51.85247,5.65650
Berghem,Oss,Noord-Brabant,51.76839,5.57497
Bergschenhoek,Lansingerland,Zuid-Holland,51.98217,4.51120
Beringe,Peel en Maas,Limburg,51.33290,5.92951
Berkel en Rodenrijs,Lansingerland,Zuid-Holland,52.00049,4.46903
Berkel-Enschot,Tilburg,Noord-Brabant,51.57701,5.13891
Berkenwoude,Krimpenerwaard,Zuid-Holland,51.95293,4.69947
Berkhout,Koggenland,Noord-Holland,52.64663,4.99699
Berlicum,Sint-Michielsgestel,Noord-Brabant,51.67848,5.41167
Berltsum,Waadhoeke,Fryslân,53.23664,5.64132
Bern,Zaltbommel,Gelderland,51.75062,5.16999
Best,Best,Noord-Brabant,51.51411,5.39653
Beugen,Land van Cuijk,Noord-Brabant,51.67531,5.93365
Beuningen,Losser,Overijssel,52.35533,7.01439
Beuningen Gld,Beuningen,Gelderland,51.85616,5.76515
Beusichem,Buren,Gelderland,51.94842,5.27699
Beutenaken,Gulpen-Wittem,Limburg,50.78209,5.85994
Beverwijk,Beverwijk,Noord-Holland,52.48206,4.66795
Biddinghuizen,Dronten,Flevoland,52.43915,5.68494
Bierum,Eemsdelta,Groningen,53.38933,6.87090
Biervliet,Sluis,Zeeland,51.32574,3.66340
Biervliet,Terneuzen,Zeeland,51.33716,3.69417
Biest-Houtakker,Hilvarenbeek,Noord-Brabant,51.50719,5.15685
Biezenmortel,Tilburg,Noord-Brabant,51.62223,5.18090
Biggekerke,Veere,Zeeland,51.49625,3.52651
Bilthoven,De Bilt,Utrecht,52.14049,5.20725
Bingelrade,Beekdaelen,Limburg,50.96979,5.93268
Bitgum,Waadhoeke,Fryslân,53.23485,5.68555
Bitgummole,Waadhoeke,Fryslân,53.23822,5.71578
Bladel,Bladel,Noord-Brabant,51.35603,5.21882
