# PDOK Locatieserver woonplaats centroids (WGS84); CC0, Kadaster
place,municipality,province,lat,lon
Den Hoorn,Texel,Noord-Holland,52.99993,4.72806
Den Horn,Westerkwartier,Groningen,53.22724,6.45368
Den Hout,Oosterhout,Noord-Brabant,51.65551,4.80784
Den Ilp,Landsmeer,Noord-Holland,52.45782,4.90494
Den Oever,Hollands Kroon,Noord-Holland,52.98109,5.00540
Den Velde,Hardenberg,Overijssel,52.59441,6.70203
Denekamp,Dinkelland,Overijssel,52.38900,7.01311
Deurne,Deurne,Noord-Brabant,51.46566,5.81031
Deurningen,Dinkelland,Overijssel,52.30125,6.85593
Deurningen,Oldenzaal,Overijssel,52.29911,6.88306
Deursen-Dennenburg,Oss,Noord-Brabant,51.79534,5.61428
Deurze,Aa en Hunze,Drenthe,52.97683,6.60308
Deventer,Deventer,Overijssel,52.25011,6.19272
Didam,Montferland,Gelderland,51.94445,6.13779
Dieden,Oss,Noord-Brabant,51.81792,5.60167
Diemen,Diemen,Noord-Holland,52.33733,4.99050
Diepenheim,Hof van Twente,Overijssel,52.19183,6.57661
Diepenveen,Deventer,Overijssel,52.29406,6.15598
Dieren,Rheden,Gelderland,52.05142,6.08534
Diessen,Hilvarenbeek,Noord-Brabant,51.46855,5.18566
Diever,Westerveld,Drenthe,52.86276,6.31732
Dieverbrug,Westerveld,Drenthe,52.84954,6.33872
Diffelen,Hardenberg,Overijssel,52.53530,6.55024
Dijken,De Fryske Marren,Fryslân,52.95425,5.70594
Dinteloord,Steenbergen,Noord-Brabant,51.62667,4.34701
Dinxperlo,Aalten,Gelderland,51.86511,6.48617
Diphoorn,Coevorden,Drenthe,52.77166,6.82294
Dirkshorn,Schagen,Noord-Holland,52.74690,4.79192
Dirksland,Goeree-Overflakkee,Zuid-Holland,51.75615,4.08656
Dodewaard,Neder-Betuwe,Gelderland,51.91119,5.66294
Doenrade,Beekdaelen,Limburg,50.96680,5.90537
Doesburg,Doesburg,Gelderland,52.01867,6.14690
Doetinchem,Doetinchem,Gelderland,51.96485,6.31514
Doeveren,Heusden,Noord-Brabant,51.72430,5.09489
Doezum,Westerkwartier,Groningen,53.20419,6.24314
Dokkum,Noardeast-Fryslân,Fryslân,53.32264,5.99713
Doldersum,Westerveld,Drenthe,52.89307,6.25016
Domburg,Veere,Zeeland,51.56056,3.49315
Donderen,Tynaarlo,Drenthe,53.09182,6.53976
Dongen,Dongen,Noord-Brabant,51.62994,4.95817
Dongjum,Waadhoeke,Fryslân,53.20912,5.54211
Doniaga,De Fryske Marren,Fryslân,52.90253,5.74551
Donkerbroek,Ooststellingwerf,Fryslân,53.01831,6.23635
Doorn,Utrechtse Heuvelrug,Utrecht,52.03731,5.34232
Doornenburg,Lingewaard,Gelderland,51.89180,6.00407
Doornspijk,Elburg,Gelderland,52.40949,5.81538
Doorwerth,Renkum,Gelderland,51.97400,5.78645
Dordrecht,Dordrecht,Zuid-Holland,51.78151,4.70887
Dorst,Oosterhout,Noord-Brabant,51.59912,4.87872
Drachten,Smallingerland,Fryslân,53.10655,6.09336
Drachten-Azeven,Opsterland,Fryslân,53.09807,6.13331
Drachtstercompagnie,Smallingerland,Fryslân,53.13287,6.15104
Dreischor,Schouwen-Duiveland,Zeeland,51.69648,3.99687
Drempt,Bronckhorst,Gelderland,52.01948,6.18635
Dreumel,West Maas en Waal,Gelderland,51.84705,5.43911
Driebergen-Rijsenburg,Utrechtse Heuvelrug,Utrecht,52.04989,5.28625
Drieborg,Oldambt,Groningen,53.26741,7.17402
Driebruggen,Bodegraven-Reeuwijk,Zuid-Holland,52.04515,4.79423
Driehuis NH,Velsen,Noord-Holland,52.44604,4.63553
Driehuizen,Alkmaar,Noord-Holland,52.58432,4.80863
Driel,Overbetuwe,Gelderland,51.95690,5.80857
Driewegen,Borsele,Zeeland,51.41223,3.79467
Driezum,Dantumadiel,Fryslân,53.30810,6.05527
Drijber,Midden-Drenthe,Drenthe,52.78562,6.55218
Drimmelen,Drimmelen,Noord-Brabant,51.72846,4.79001
Drogeham,Achtkarspelen,Fryslân,53.20436,6.11595
Drogteropslagen,De Wolden,Drenthe,52.62162,6.49955
Drongelen,Altena,Noord-Brabant,51.71908,5.04364
Dronryp,Waadhoeke,Fryslân,53.18634,5.64662
Dronten,Dronten,Flevoland,52.52915,5.75351
Drouwen,Borger-Odoorn,Drenthe,52.95150,6.77572
Drouwenermond,Borger-Odoorn,Drenthe,52.97659,6.89923
Drouwenerveen,Borger-Odoorn,Drenthe,52.96637,6.85958
Drunen,Heusden,Noord-Brabant,51.66817,5.13484
Druten,Druten,Gelderland,51.89094,5.58585
Duiven,Duiven,Gelderland,51.95877,6.02285
Duivendrecht,Ouder-Amstel,Noord-Holland,52.33056,4.93910
Duizel,Eersel,Noord-Brabant,51.37345,5.29374
Dussen,Altena,Noord-Brabant,51.73497,4.96485
Dwingeloo,Westerveld,Drenthe,52.83458,6.38795
Eagum,Leeuwarden,Fryslân,53.12904,5.82289
Eanjum,Noardeast-Fryslân,Fryslân,53.38521,6.14367
Earnewâld,Tytsjerksteradiel,Fryslân,53.13778,5.94289
Easterein,Súdwest-Fryslân,Fryslân,53.09866,5.61992
Easterlittens,Leeuwarden,Fryslân,53.12946,5.65619
Eastermar,Tytsjerksteradiel,Fryslân,53.17693,6.07108
Easternijtsjerk,Noardeast-Fryslân,Fryslân,53.37861,6.04902
Easterwierrum,Súdwest-Fryslân,Fryslân,53.11547,5.73512
Eastrum,Noardeast-Fryslân,Fryslân,53.33163,6.04826
Echt,Echt-Susteren,Limburg,51.09850,5.88300
Echteld,Neder-Betuwe,Gelderland,51.90533,5.48855
Echten,De Fryske Marren,Fryslân,52.87001,5.80010
Echten,De Wolden,Drenthe,52.71695,6.38868
Echtenerbrug,De Fryske Marren,Fryslân,52.86063,5.82380
Eck en Wiel,Buren,Gelderland,51.96919,5.45598
Eckelrade,Eijsden-Margraten,Limburg,50.80942,5.76286
Edam,Edam-Volendam,Noord-Holland,52.51723,5.06505
Ede,Ede,Gelderland,52.04604,5.68490
Ederveen,Ede,Gelderland,52.05881,5.58338
Eede,Sluis,Zeeland,51.25199,3.46298
Eefde,Lochem,Gelderland,52.17102,6.22986
Eelde,Tynaarlo,Drenthe,53.13060,6.57416
Eelderwolde,Tynaarlo,Drenthe,53.17887,6.53558
Eemdijk,Bunschoten,Utrecht,52.26210,5.33387
Eemnes,Eemnes,Utrecht,52.25189,5.28268
Eemshaven,Het Hogeland,Groningen,53.44652,6.85103
Een,Noordenveld,Drenthe,53.08360,6.37890
Een-West,Noordenveld,Drenthe,53.08259,6.33179
Eenrum,Het Hogeland,Groningen,53.37027,6.45408
Eenum,Eemsdelta,Groningen,53.33664,6.78353
Eerbeek,Brummen,Gelderland,52.09498,6.05131
Eersel,Eersel,Noord-Brabant,51.34837,5.31324
Ees,Borger-Odoorn,Drenthe,52.89892,6.81128
Eesergroen,Borger-Odoorn,Drenthe,52.89028,6.78035
Eeserveen,Borger-Odoorn,Drenthe,52.87664,6.76472
Eesterga,De Fryske Marren,Fryslân,52.86783,5.71346
Eesveen,Steenwijkerland,Overijssel,52.82900,6.12533
Eethen,Altena,Noord-Brabant,51.73568,5.04871
Eext,Aa en Hunze,Drenthe,53.01595,6.73121
Eexterveen,Aa en Hunze,Drenthe,53.05165,6.80283
Eexterveenschekanaal,Aa en Hunze,Drenthe,53.05920,6.82169
Eexterzandvoort,Aa en Hunze,Drenthe,53.03783,6.78065
Egchel,Peel en Maas,Limburg,51.30797,5.96518
Egmond aan Zee,Bergen (NH),Noord-Holland,52.61879,4.61930
Egmond aan den Hoef,Bergen (NH),Noord-Holland,52.62840,4.66251
Egmond-Binnen,Bergen (NH),Noord-Holland,52.59473,4.63294
Eibergen,Berkelland,Gelderland,52.09197,6.64870
Eijsden,Eijsden-Margraten,Limburg,50.77900,5.71593
Eindhoven,Eindhoven,Noord-Brabant,51.45016,5.45854
Einighausen,Sittard-Geleen,Limburg,51.00018,5.82724
Ekehaar,Aa en Hunze,Drenthe,52.94974,6.59331
Elahuizen,De Fryske Marren,Fryslân,52.92781,5.54802
Elburg,Elburg,Gelderland,52.44886,5.84233
Eldersloo,Aa en Hunze,Drenthe,52.96276,6.61533
Eleveld,Aa en Hunze,Drenthe,52.95890,6.58151
Elim,Hoogeveen,Drenthe,52.68137,6.57298
Elkenrade,Gulpen-Wittem,Limburg,50.84006,5.91559
Ell,Leudal,Limburg,51.21301,5.78868
Ellecom,Rheden,Gelderland,52.02700,6.10040
Ellemeet,Schouwen-Duiveland,Zeeland,51.71899,3.82269
Ellertshaar,Borger-Odoorn,Drenthe,52.89547,6.74138
Ellewoutsdijk,Borsele,Zeeland,51.38290,3.81807
Elp,Midden-Drenthe,Drenthe,52.88895,6.64905
Elsendorp,Gemert-Bakel,Noord-Brabant,51.57428,5.77031
Elshout,Heusden,Noord-Brabant,51.70349,5.13246
Elsloo,Ooststellingwerf,Fryslân,52.94139,6.24311
Elsloo,Stein,Limburg,50.94915,5.75866
Elspeet,Nunspeet,Gelderland,52.29711,5.78647
Elst,Overbetuwe,Gelderland,51.92115,5.84185
Elst Ut,Rhenen,Utrecht,51.99250,5.51190
Emmeloord,Noordoostpolder,Flevoland,52.71329,5.75781
Emmen,Emmen,Drenthe,52.77834,6.90113
Emmer-Compascuum,Emmen,Drenthe,52.80263,7.02150
Empe,Brummen,Gelderland,52.14841,6.12255
Emst,Epe,Gelderland,52.31760,5.94622
Enkhuizen,Enkhuizen,Noord-Holland,52.75519,5.30337
Ens,Noordoostpolder,Flevoland,52.64016,5.82135
Enschede,Enschede,Overijssel,52.22081,6.87779
Enspijk,West Betuwe,Gelderland,51.86878,5.21172
Enter,Wierden,Overijssel,52.29967,6.58801
Enumatil,Westerkwartier,Groningen,53.21458,6.41093
Epe,Epe,Gelderland,52.35742,5.95841
Epen,Gulpen-Wittem,Limburg,50.76605,5.90822
Eppenhuizen,Het Hogeland,Groningen,53.37679,6.69330
Epse,Lochem,Gelderland,52.22236,6.21462
Erica,Emmen,Drenthe,52.70825,6.92673
Erichem,Buren,Gelderland,51.89504,5.34441
Erlecom,Berg en Dal,Gelderland,51.84664,5.95955
Erm,Coevorden,Drenthe,52.74696,6.81275
Ermelo,Ermelo,Gelderland,52.28825,5.66617
Erp,Meierijstad,Noord-Brabant,51.58956,5.60977
Esbeek,Hilvarenbeek,Noord-Brabant,51.45098,5.12946
Esch,Boxtel,Noord-Brabant,51.61551,5.29391
Escharen,Land van Cuijk,Noord-Brabant,51.73452,5.74514
Espel,Noordoostpolder,Flevoland,52.72674,5.58043
Est,West Betuwe,Gelderland,51.84679,5.31664
Etten,Oude IJsselstreek,Gelderland,51.91108,6.32660
Etten-Leur,Etten-Leur,Noord-Brabant,51.57832,4.64497
Europoort Rotterdam,Rotterdam,Zuid-Holland,51.94225,4.14885
Eursinge,De Wolden,Drenthe,52.78062,6.43632
Eursinge,Midden-Drenthe,Drenthe,52.83678,6.59148
Everdingen,Vijfheerenlanden,Utrecht,51.95710,5.15181
Evertsoord,Horst aan de Maas,Limburg,51.40190,5.94193
Ewijk,Beuningen,Gelderland,51.86169,5.72631
Exloo,Borger-Odoorn,Drenthe,52.88438,6.86555
Exloërveen,Borger-Odoorn,Drenthe,52.89703,6.89940
Exmorra,Súdwest-Fryslân,Fryslân,53.05838,5.46700
Eygelshoven,Kerkrade,Limburg,50.89628,6.06352
Eys,Gulpen-Wittem,Limburg,50.82839,5.94146
Ezinge,Westerkwartier,Groningen,53.30219,6.44319
Farmsum,Eemsdelta,Groningen,53.30093,6.96579
Feankleaster,Noardeast-Fryslân,Fryslân,53.26580,6.11353
Feanwâlden,Dantumadiel,Fryslân,53.24626,5.97551
Feerwerd,Westerkwartier,Groningen,53.29579,6.47000
Feinsum,Leeuwarden,Fryslân,53.28108,5.76062
Ferwert,Noardeast-Fryslân,Fryslân,53.36124,5.79084
Ferwoude,Súdwest-Fryslân,Fryslân,53.00541,5.43848
Fijnaart,Moerdijk,Noord-Brabant,51.63789,4.47278
Finsterwolde,Oldambt,Groningen,53.23508,7.11208
Firdgum,Waadhoeke,Fryslân,53.24765,5.56219
Fleringen,Tubbergen,Overijssel,52.37735,6.80366
Fluitenberg,Hoogeveen,Drenthe,52.73875,6.44549
Fochteloo,Ooststellingwerf,Fryslân,52.99383,6.35563
Follega,De Fryske Marren,Fryslân,52.88398,5.72084
Folsgare,Súdwest-Fryslân,Fryslân,53.03411,5.60219
Formerum,Terschelling,Fryslân,53.31181,5.37673
Foudgum,Noardeast-Fryslân,Fryslân,53.34485,5.94778
Foxhol,Midden-Groningen,Groningen,53.16890,6.71378
Foxwolde,Noordenveld,Drenthe,53.15778,6.45878
Franeker,Waadhoeke,Fryslân,53.18341,5.54661
Frederiksoord,Westerveld,Drenthe,52.84647,6.18458
Friens,Leeuwarden,Fryslân,53.09826,5.80000
Frieschepalen,Opsterland,Fryslân,53.10713,6.20537
Froombosch,Midden-Groningen,Groningen,53.19641,6.77228
Gaanderen,Doetinchem,Gelderland,51.93761,6.36015
Gaast,Súdwest-Fryslân,Fryslân,53.02161,5.42817
Gaastmeer,Súdwest-Fryslân,Fryslân,52.96818,5.52667
Galder,Alphen-Chaam,Noord-Brabant,51.51484,4.76956
Gameren,Zaltbommel,Gelderland,51.79909,5.19516
Gapinge,Veere,Zeeland,51.54359,3.62747
Garderen,Barneveld,Gelderland,52.22401,5.70173
Garmerwolde,Groningen,Groningen,53.25101,6.66002
Garminge,Midden-Drenthe,Drenthe,52.82119,6.62368
Garnwerd,Westerkwartier,Groningen,53.29331,6.48993
Garrelsweer,Eemsdelta,Groningen,53.30526,6.77077
Garsthuizen,Eemsdelta,Groningen,53.37213,6.73032
Garyp,Tytsjerksteradiel,Fryslân,53.16171,5.96493
Gassel,Land van Cuijk,Noord-Brabant,51.73545,5.78076
Gasselte,Aa en Hunze,Drenthe,52.97370,6.77072
Gasselternijveen,Aa en Hunze,Drenthe,52.99161,6.84302
Gasselternijveenschemond,Aa en Hunze,Drenthe,53.00046,6.89212
Gastel,Cranendonck,Noord-Brabant,51.29130,5.54364
Gasteren,Aa en Hunze,Drenthe,53.03455,6.66684
Gauw,Súdwest-Fryslân,Fryslân,53.05560,5.71840
Geelbroek,Aa en Hunze,Drenthe,52.95033,6.56873
Geerdijk,Twenterand,Overijssel,52.47969,6.56327
Geersdijk,Noord-Beveland,Zeeland,51.56297,3.75856
Geertruidenberg,Geertruidenberg,Noord-Brabant,51.69990,4.84581
Geervliet,Nissewaard,Zuid-Holland,51.85436,4.26573
Gees,Coevorden,Drenthe,52.74563,6.68062
Geesbrug,Coevorden,Drenthe,52.73685,6.62018
Geesteren,Berkelland,Gelderland,52.13983,6.51778
Geesteren,Tubbergen,Overijssel,52.42321,6.72006
Geeuwenbrug,Westerveld,Drenthe,52.87487,6.36329
Geffen,Oss,Noord-Brabant,51.74701,5.46730
Geijsteren,Venray,Limburg,51.54739,6.05072
Geldermalsen,West Betuwe,Gelderland,51.87676,5.29851
Gelderswoude,Zoeterwoude,Zuid-Holland,52.09124,4.52673
Geldrop,Geldrop-Mierlo,Noord-Brabant,51.42053,5.55639
Geleen,Sittard-Geleen,Limburg,50.97826,5.81094
Gellicum,West Betuwe,Gelderland,51.86490,5.15623
Gelselaar,Berkelland,Gelderland,52.16803,6.52420
Gemert,Gemert-Bakel,Noord-Brabant,51.56010,5.69078
Gemonde,Sint-Michielsgestel,Noord-Brabant,51.61530,5.36454
Genderen,Altena,Noord-Brabant,51.73693,5.08740
Gendringen,Oude IJsselstreek,Gelderland,51.86998,6.35771
Gendt,Lingewaard,Gelderland,51.87768,5.96391
Genemuiden,Zwartewaterland,Overijssel,52.61101,6.02309
Gennep,Gennep,Limburg,51.69954,5.97356
Gerkesklooster,Achtkarspelen,Fryslân,53.24688,6.20668
Gersloot,Heerenveen,Fryslân,53.02076,5.95854
Geulle,Meerssen,Limburg,50.92312,5.74680
Giesbeek,Zevenaar,Gelderland,51.99259,6.07308
Giessen,Altena,Noord-Brabant,51.78354,5.02899
Giessenburg,Molenlanden,Zuid-Holland,51.85670,4.88291
Gieten,Aa en Hunze,Drenthe,53.00385,6.77517
Gieterveen,Aa en Hunze,Drenthe,53.02402,6.84254
Giethmen,Ommen,Overijssel,52.49104,6.39595
Giethoorn,Steenwijkerland,Overijssel,52.73529,6.05919
Gilze,Gilze en Rijen,Noord-Brabant,51.53651,4.91846
Ginnum,Noardeast-Fryslân,Fryslân,53.32320,5.87668
Glane,Losser,Overijssel,52.23293,6.98610
Glimmen,Groningen,Groningen,53.13588,6.62847
Godlinze,Eemsdelta,Groningen,53.37921,6.80818
Goedereede,Goeree-Overflakkee,Zuid-Holland,51.81836,3.98967
Goes,Goes,Zeeland,51.50186,3.89078
Goingarijp,De Fryske Marren,Fryslân,53.02006,5.75730
Goirle,Goirle,Noord-Brabant,51.50889,5.05285
Goor,Hof van Twente,Overijssel,52.23781,6.58965
Gorinchem,Gorinchem,Zuid-Holland,51.83951,4.97435
Gorredijk,Opsterland,Fryslân,52.99492,6.06471
Gorssel,Lochem,Gelderland,52.19565,6.19701
Gouda,Gouda,Zuid-Holland,52.01530,4.70620
Gouderak,Krimpenerwaard,Zuid-Holland,51.98226,4.68989
Goudriaan,Molenlanden,Zuid-Holland,51.90361,4.90533
Goudswaard,Hoeksche Waard,Zuid-Holland,51.77121,4.27639
Goutum,Leeuwarden,Fryslân,53.17855,5.80397
Goënga,Súdwest-Fryslân,Fryslân,53.05353,5.70114
Goëngahuizen,Smallingerland,Fryslân,53.08696,5.90335
Graauw,Hulst,Zeeland,51.32706,4.09823
Grafhorst,Kampen,Overijssel,52.58836,5.94691
Graft,Alkmaar,Noord-Holland,52.56021,4.82232
Gramsbergen,Hardenberg,Overijssel,52.60851,6.67221
Grashoek,Peel en Maas,Limburg,51.36439,5.93875
Grathem,Leudal,Limburg,51.19955,5.85658
Grave,Land van Cuijk,Noord-Brabant,51.76146,5.72878
Greonterp,Súdwest-Fryslân,Fryslân,53.00955,5.51609
Grevenbicht,Sittard-Geleen,Limburg,51.04661,5.77508
Griendtsveen,Horst aan de Maas,Limburg,51.43639,5.90562
Grijpskerk,Westerkwartier,Groningen,53.26633,6.30260
Grijpskerke,Veere,Zeeland,51.52756,3.56388
Groede,Sluis,Zeeland,51.37617,3.51140
Groenekan,De Bilt,Utrecht,52.12980,5.15787
Groeningen,Land van Cuijk,Noord-Brabant,51.61195,5.99663
Groenlo,Oost Gelre,Gelderland,52.03807,6.63880
Groesbeek,Berg en Dal,Gelderland,51.77902,5.93722
Groessen,Duiven,Gelderland,51.92830,6.02627
Groet,Bergen (NH),Noord-Holland,52.72207,4.67038
Grolloo,Aa en Hunze,Drenthe,52.93051,6.66993
Groningen,Groningen,Groningen,53.22223,6.56334
Gronsveld,Eijsden-Margraten,Limburg,50.80667,5.73131
Groot-Ammers,Molenlanden,Zuid-Holland,51.91933,4.85093
Grootebroek,Stede Broec,Noord-Holland,52.70063,5.22194
Grootegast,Westerkwartier,Groningen,53.20599,6.28014
Grootschermer,Alkmaar,Noord-Holland,52.58616,4.85271
Grou,Leeuwarden,Fryslân,53.10017,5.84923
Grubbenvorst,Horst aan de Maas,Limburg,51.42535,6.12139
Gulpen,Gulpen-Wittem,Limburg,50.80116,5.88144
Guttecoven,Sittard-Geleen,Limburg,51.01211,5.81612
Gytsjerk,Tytsjerksteradiel,Fryslân,53.24011,5.88382
Haaften,West Betuwe,Gelderland,51.82522,5.20515
Haaksbergen,Haaksbergen,Overijssel,52.15550,6.75586
Haalderen,Lingewaard,Gelderland,51.88725,5.92702
Haaren,Oisterwijk,Noord-Brabant,51.60378,5.23224
Haarle,Hellendoorn,Overijssel,52.35297,6.38616
Haarle,Tubbergen,Overijssel,52.40673,6.83652
Haarlem,Haarlem,Noord-Holland,52.38242,4.64669
Haarlemmerliede,Haarlemmermeer,Noord-Holland,52.38828,4.69246
Haarlo,Berkelland,Gelderland,52.10773,6.57058
Haarsteeg,Heusden,Noord-Brabant,51.71456,5.19961
Haarzuilens,Utrecht,Utrecht,52.12465,4.99217
Haastrecht,Krimpenerwaard,Zuid-Holland,52.00362,4.79144
Haelen,Leudal,Limburg,51.23396,5.94123
Hagestein,Vijfheerenlanden,Utrecht,51.97826,5.12818
Haghorst,Hilvarenbeek,Noord-Brabant,51.50087,5.21118
Haler,Leudal,Limburg,51.19087,5.77676
Halfweg,Haarlemmermeer,Noord-Holland,52.39420,4.72980
Hall,Brummen,Gelderland,52.11148,6.09533
Halle,Bronckhorst,Gelderland,51.99995,6.42927
Hallum,Noardeast-Fryslân,Fryslân,53.30037,5.78779
Halsteren,Bergen op Zoom,Noord-Brabant,51.52564,4.26916
Handel,Gemert-Bakel,Noord-Brabant,51.57853,5.71372
Hank,Altena,Noord-Brabant,51.73783,4.89162
Hansweert,Reimerswaal,Zeeland,51.44553,3.98519
Hantum,Noardeast-Fryslân,Fryslân,53.36402,5.96402
Hantumerútbuorren,Noardeast-Fryslân,Fryslân,53.35684,6.00545
Hantumhuzen,Noardeast-Fryslân,Fryslân,53.37262,5.99865
Hapert,Bladel,Noord-Brabant,51.34643,5.25658
Haps,Land van Cuijk,Noord-Brabant,51.69231,5.86142
Harbrinkhoek,Tubbergen,Overijssel,52.38486,6.71845
Hardenberg,Hardenberg,Overijssel,52.57174,6.62125
Harderwijk,Harderwijk,Gelderland,52.33749,5.63588
Hardinxveld-Giessendam,Hardinxveld-Giessendam,Zuid-Holland,51.83261,4.85242
Haren,Oss,Noord-Brabant,51.80164,5.58156
Haren Gn,Groningen,Groningen,53.17044,6.60099
Harfsen,Lochem,Gelderland,52.19571,6.29085
Harich,De Fryske Marren,Fryslân,52.89721,5.55053
Haringhuizen,Hollands Kroon,Noord-Holland,52.76843,4.83037
Harkema,Achtkarspelen,Fryslân,53.18565,6.13005
Harkstede,Midden-Groningen,Groningen,53.21581,6.70405
Harkstede GN,Groningen,Groningen,53.21930,6.68118
Harlingen,Harlingen,Fryslân,53.14207,5.26367
Harmelen,Woerden,Utrecht,52.09476,4.96392
Harreveld,Oost Gelre,Gelderland,51.98162,6.50868
Harskamp,Ede,Gelderland,52.13385,5.77700
Hartwerd,Súdwest-Fryslân,Fryslân,53.07253,5.57162
Haskerdijken,Heerenveen,Fryslân,53.01507,5.86875
Haskerhorne,De Fryske Marren,Fryslân,52.95914,5.83362
Hasselt,Zwartewaterland,Overijssel,52.58017,6.10587
Hattem,Hattem,Gelderland,52.47478,6.05326
Hattemerbroek,Oldebroek,Gelderland,52.47976,6.01181
Haule,Ooststellingwerf,Fryslân,53.03959,6.30827
Haulerwijk,Ooststellingwerf,Fryslân,53.05823,6.33946
Hauwert,Medemblik,Noord-Holland,52.70832,5.10071
Havelte,Westerveld,Drenthe,52.76498,6.23526
Havelterberg,Westerveld,Drenthe,52.77045,6.18174
Hazerswoude-Dorp,Alphen aan den Rijn,Zuid-Holland,52.09989,4.59176
Hazerswoude-Rijndijk,Alphen aan den Rijn,Zuid-Holland,52.12536,4.59413
Hedel,Maasdriel,Gelderland,51.75379,5.25811
Hedikhuizen,Heusden,Noord-Brabant,51.73261,5.18834
Hee,Terschelling,Fryslân,53.37836,5.26010
Heeg,Súdwest-Fryslân,Fryslân,52.97213,5.59219
Heel,Maasgouw,Limburg,51.18542,5.88652
Heelsum,Renkum,Gelderland,51.98198,5.76252
Heelweg,Oude IJsselstreek,Gelderland,51.96107,6.48689
Heemserveen,Hardenberg,Overijssel,52.58753,6.56420
Heemskerk,Heemskerk,Noord-Holland,52.51249,4.64045
Heemstede,Heemstede,Noord-Holland,52.34478,4.61536
Heenvliet,Nissewaard,Zuid-Holland,51.85997,4.22456
Heerde,Heerde,Gelderland,52.39598,6.02522
Heerenveen,Heerenveen,Fryslân,52.96236,5.92601
Heerewaarden,Maasdriel,Gelderland,51.81441,5.38351
Heerhugowaard,Dijk en Waard,Noord-Holland,52.67601,4.84459
Heerjansdam,Zwijndrecht,Zuid-Holland,51.83036,4.57344
Heerle,Roosendaal,Noord-Brabant,51.51685,4.36514
Heerlen,Heerlen,Limburg,50.88801,5.97860
Heesbeen,Heusden,Noord-Brabant,51.73042,5.11512
Heesch,Bernheze,Noord-Brabant,51.71789,5.51610
Heesselt,West Betuwe,Gelderland,51.81661,5.34377
Heeswijk-Dinther,Bernheze,Noord-Brabant,51.65795,5.48788
Heeten,Raalte,Overijssel,52.33218,6.28012
Heeze,Heeze-Leende,Noord-Brabant,51.38878,5.57773
Hegebeintum,Noardeast-Fryslân,Fryslân,53.32980,5.85730
Hegelsom,Horst aan de Maas,Limburg,51.43168,6.03753
Hei- en Boeicop,Vijfheerenlanden,Utrecht,51.94036,5.07123
Heibloem,Leudal,Limburg,51.29926,5.90657
Heide,Venray,Limburg,51.50279,5.94281
Heijen,Gennep,Limburg,51.66784,5.99214
Heijenrath,Gulpen-Wittem,Limburg,50.77637,5.87365
Heijningen,Moerdijk,Noord-Brabant,51.65950,4.40961
Heikant,Hulst,Zeeland,51.25167,4.01049
Heilig Landstichting,Berg en Dal,Gelderland,51.81284,5.89441
Heiligerlee,Oldambt,Groningen,53.15752,7.00779
Heiloo,Heiloo,Noord-Holland,52.59985,4.70857
Heinenoord,Hoeksche Waard,Zuid-Holland,51.82266,4.50464
Heinkenszand,Borsele,Zeeland,51.46539,3.80875
Heino,Raalte,Overijssel,52.44309,6.24575
Hekelingen,Nissewaard,Zuid-Holland,51.82230,4.34105
Hekendorp,Oudewater,Utrecht,52.02278,4.82859
Helden,Peel en Maas,Limburg,51.31912,6.00967
Helenaveen,Deurne,Noord-Brabant,51.40230,5.89411
Hellendoorn,Hellendoorn,Overijssel,52.41391,6.45033
Hellevoetsluis,Voorne aan Zee,Zuid-Holland,51.83956,4.12552
Hellouw,West Betuwe,Gelderland,51.83421,5.17350
Hellum,Midden-Groningen,Groningen,53.24941,6.83192
Helmond,Helmond,Noord-Brabant,51.47615,5.65696
Helvoirt,Vught,Noord-Brabant,51.64423,5.20637
Hem,Drechterland,Noord-Holland,52.65974,5.18407
Hemelum,Súdwest-Fryslân,Fryslân,52.88374,5.46102
Hemmen,Overbetuwe,Gelderland,51.92761,5.69150
Hempens,Leeuwarden,Fryslân,53.17633,5.84212
Hemrik,Opsterland,Fryslân,53.03481,6.13670
Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht,Zuid-Holland,51.84179,4.63879
Hengelo,Hengelo (O),Overijssel,52.25491,6.77819
Hengelo (Gld),Bronckhorst,Gelderland,52.05400,6.33430
Hengevelde,Hof van Twente,Overijssel,52.20336,6.63631
Hengstdijk,Hulst,Zeeland,51.34148,3.99774
Hensbroek,Koggenland,Noord-Holland,52.65345,4.89587
Herbaijum,Waadhoeke,Fryslân,53.18583,5.49542
Herkenbosch,Roerdalen,Limburg,51.16802,6.09946
Herkingen,Goeree-Overflakkee,Zuid-Holland,51.70981,4.07961
Hernen,Wijchen,Gelderland,51.83436,5.67755
Herpen,Oss,Noord-Brabant,51.76637,5.62359
Herpt,Heusden,Noord-Brabant,51.72304,5.16213
Herten,Roermond,Limburg,51.17528,5.94921
Hertme,Borne,Overijssel,52.31791,6.76753
Herveld,Overbetuwe,Gelderland,51.91415,5.74989
Herwen,Zevenaar,Gelderland,51.87960,6.11790
Herwijnen,West Betuwe,Gelderland,51.84361,5.12458
Heteren,Overbetuwe,Gelderland,51.95180,5.75460
Heukelom,Oisterwijk,Noord-Brabant,51.56646,5.15353
Heukelum,West Betuwe,Gelderland,51.86796,5.07164
Heumen,Heumen,Gelderland,51.76927,5.84065
Heusden,Asten,Noord-Brabant,51.36546,5.79367
Heusden,Heusden,Noord-Brabant,51.73557,5.14116
Heveadorp,Renkum,Gelderland,51.97369,5.81262
